sample	reads_in_NAT
trimmed_SRR32727621	42
trimmed_SRR32727622	28
trimmed_SRR32727620	20
trimmed_SRR32727618	34
trimmed_SRR32727619	44
trimmed_SRR32727615	59
trimmed_SRR32727616	45
trimmed_SRR32727617	47
